hadzapid,sex,age,campid,camppop,prizehunt,prizeforage,watching,firstgame,h1played,h2played,h3played,h4played,h5played,h1win,h2win,h3win,h4win,h5win,h1condition,h2condition,h3condition,h4condition,h5condition,f1played,f2played,f3played,f4played,f5played,f1win,f2win,f3win,f4win,f5win,f1condition,f2condition,f3condition,f4condition,f5condition,2ndtry,notes
1079,M,35,A,11,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
501,M,53,A,11,Red,Green,y,HUNTING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
383,M,33,A,11,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
789,M,34,A,11,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A7,M,67,A,11,Red,Green,y,HUNTING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A1,M,65,A,11,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A105,F,37,A,11,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
2,F,38,A,11,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
386,F,55,A,11,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A117,F,50,A,11,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
554,F,24,A,11,Red,Green,y,FORAGING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A10,M,22,B,8,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A13,M,25,B,8,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A14,M,57,B,8,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A15,M,54,B,8,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A125,F,56,B,8,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A122,F,36,B,8,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
806,F,38,B,8,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A124,F,38,B,8,Red,Green,y,HUNTING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
312,M,57,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
246,M,35,C,29,Red,Green,y,HUNTING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
111,M,27,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
339,M,46,C,29,Red,Green,y,HUNTING,Y,Y,,,,N,Y,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A4,M,50,C,29,Red,Green,y,FORAGING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A12,M,25,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A6,M,38,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A8,M,47,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A9,M,75,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A17,M,68,C,29,Red,Green,y,HUNTING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A11,M,50,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
1032,M,24,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A17,M,48,C,29,Red,Green,y,FORAGING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A121,F,18,C,29,Red,Green,y,FORAGING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A116,F,52,C,29,Red,Green,y,FORAGING,Y,Y,,,,N,N,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A102,F,38,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
1140,F,28,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
863,F,38,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
195,F,40,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A104,F,35,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A120,F,22,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
6098,F,21,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A108,F,21,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A109,F,24,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A110,F,25,C,29,Red,Green,y,FORAGING,Y,Y,,,,N,N,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,Y,,,,Y,Y,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A111,F,34,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A113,F,25,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A114,F,42,C,29,Red,Green,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
A115,F,35,C,29,Red,Green,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
6321,M,61,D,12,Green,Red,y,HUNTING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
136,M,46,D,12,Green,Red,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
241,M,50,D,12,Green,Red,y,FORAGING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
596,M,36,D,12,Green,Red,y,FORAGING,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
1105,F,56,D,12,Green,Red,y,HUNTING,Y,Y,Y,,,N,Y,N,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,N,,,,,,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
192,F,36,D,12,Green,Red,y,HUNTING,Y,Y,,,,N,N,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
6016,F,20,D,12,Green,Red,y,HUNTING,Y,Y,Y,Y,Y,N,Y,N,N,N,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,twice?
446,F,44,D,12,Green,Red,y,FORAGING,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,N,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
2129,F,62,D,12,Green,Red,y,FORAGING,Y,Y,,,,N,N,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Y,,,,,Y,,,,,NoPay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,Pay_Bracelet,0,
